id,next_id,speaker,scene,content,type,choices,target,condition,expression,fx,bg,effect,nameOverride,bgm
BE_0001,BE_0002,,出师未捷,"我盯着收款短信里的几个零又叹了一口气，最后怎么就变成了经济纠纷呢？这点小钱，对唐家不痛不痒，倒是我依旧弄丢了自己倾尽心力研究的成果。",narration,,,,,,纯黑背景,,,
BE_0002,BE_0003,林子月,出师未捷,"这是……？",line,,,,,,纯黑背景,,,
BE_0003,BE_0004,,出师未捷,"奇怪的短信不知出处，不过既然与我的研究成果有关，不管龙潭虎穴，总得去闯一闯才行。",narration,,,,,,纯黑背景,,,
BE_0004,BE_0005,,出师未捷,"不知为何，总觉得越是靠近目的地，身旁的空气愈发冰冷，有如在最冷的十二月坠入地窖一般。不知怎的，我诡异地出现了一个想法——此情此景，很是适合杀人抛尸。但还没来得及转身回去就被一阵巨力撞得滚进了教室，在断断续续的嗡鸣声中听见了一声门被甩上的巨响。",narration,,,,,,废旧教室,,,
BE_0005,BE_0006,唐沁,出师未捷,"林子月，你可不要怪我狠心，要怪就怪你自己不安分还想着反抗吧。",line,,,,黑脸威胁,,废旧教室,,,
BE_0006,BE_0007,,出师未捷,"出现在视线里的当然不止唐沁，还有另外两个身形高大的男性。在这里是做什么的几乎不需要再思考了，一切都很明显！我快速翻身站起试图逃离，但被其中一名男子轻松按住肩膀，于是停在原地。",narration,,,,,,废旧教室,,,
BE_0007,BE_0008,林子月,出师未捷,"唐沁，在学校里杀人，你是疯了吗！",line,,,,,,废旧教室,,,
BE_0008,BE_0009,唐沁,出师未捷,"杀人？那我和你说声抱歉吧，哈哈哈。不过也还好啦，毕竟今天之后，大家只会知道林子月因为窃取他人学术成果被发现——畏罪自杀了！而我一个受害者，与你的死亡会有什么关系呢？",line,,,,得意洋洋,,废旧教室,,,
BE_0009,BE_0010,,出师未捷,"我忽而觉得自己实在是太渺小了。在这荒谬的现实里，废旧教室里发霉的铁锈味和潮湿的水汽味无一不体现着我的无能，甚至连我的挣扎也不过是以卵击石，如案板上的鱼肉一般，弱小得几乎可笑。恍惚的走马灯第二次在我眼前浮现，一阵失重感后，我自窗台坠落。",narration,,,,,,纯黑背景,,,
BE_0010,BE_0011,唐沁,出师未捷,"林子月，再也不见了。",line,,,,微笑,,废旧教室,,,
BE_0011,,,出师未捷,"上天分明给了我又一次机会，怎么还是走上了同样的道路呢？",narration,,,,,,纯黑背景,,,
