id,next_id,speaker,scene,content,type,choices,target,condition,expression,fx,bg,effect,nameOverride,bgm
HE_0001,HE_0002,师妹,玉养人两世,"林师姐，林师姐！我看到你的论文了，原来你一直带我们做的项目是你牵头的呀！我还以为我连三作都混不到呢，嘿嘿……",line,,,,黑色蒙版,,实验室,,,Music/HE
HE_0002,HE_0003,师弟,玉养人两世,"哈哈哈，我都习惯给导师打白工了。",line,,,,黑色蒙版,,实验室,,,
HE_0003,HE_0004,林子月,玉养人两世,"你们呀——贫嘴比谁都厉害。今天我还要去处理一下公司的事情，等下次有空好好请你们这一群小馋货吃饭哦。",line,,,,微笑,,实验室,,,
HE_0004,HE_0005,,玉养人两世,"几个自比作小白工的研究牲们就这样无声目送林子月风风火火地离开了实验室，紧接着便在八卦的本能驱动下凑在一起叽叽喳喳了起来。",narration,,,,,,实验室,,,
HE_0005,HE_0006,师妹,玉养人两世,"听说子月姐是在调解的时候得到了那个谁家给的巨额赔偿款，这才能自己创业的。学姐做研究那么厉害，在法律方面竟然还有了解，脑子确实是这个！",line,,,,黑色蒙版,,实验室,,,
HE_0006,HE_0007,师弟,玉养人两世,"是啊，要是我对上她，估计被啃得连渣都不剩了。",line,,,,黑色蒙版,,实验室,,,
HE_0007,HE_0008,师妹,玉养人两世,"哎，子月姐帮我们脱离苦海了，谁会想自己辛辛苦苦的研究成果最后属导师和那个谁的名儿啊，得亏我才研一，还没怎么受过老登的苦。",line,,,,黑色蒙版,,实验室,,,
HE_0008,HE_0009,师弟,玉养人两世,"你说，我要不要也去买个玉呢？",line,,,,黑色蒙版,,实验室,,,
HE_0009,HE_0010,师妹,玉养人两世,"你买玉干什么，也准备走唐师姐这条路？",line,,,,黑色蒙版,,实验室,,,
HE_0010,HE_0011,师弟,玉养人两世,"停停停，你自己听听这话阴不阴，是师姐当时被她打碎了一个玉镯子才有机会周旋的，感觉很适合做保命符。",line,,,,黑色蒙版,,实验室,,,
HE_0011,HE_0012,师妹,玉养人两世,"真的啊？那我也去买一个好了，这不比什么开了光的符好用。",line,,,,黑色蒙版,,实验室,,,
HE_0012,,,玉养人两世,"我并不知道自己的所作所为给自己的师弟师妹们带来了怎样的影响，又给了他们多少激励；不过，那些资金确实予了我腾飞的翅膀，给了我更坚实的后盾、让我能"搏击长空"。从现在开始，我的人生要百分百属于我自己！",narration,,,,,,实验室,,,
