id,next_id,speaker,scene,content,type,choices,target,condition,expression,fx,bg,effect,nameOverride,bgm
NE_0001,NE_0002,唐沁,身如浮萍,宝贝们，为了庆祝我的论文成功发表，今晚我请大家去繁盛楼好好搓一顿！,line,,,,Tangsmile,,Labo,,,Mischief_Managed_full
NE_0002,NE_0003,实验员们,身如浮萍,好诶！唐姐万岁！！！,line,,,,Npc,,Labo,,,Mischief_Managed_full
NE_0003,NE_0004,唐沁,身如浮萍,对了，子月，你也一起来吧，毕竟你可是我最重要的“副手”啊……没你可不行。,line,,,,Tangdeyi,,Labo,,,Mischief_Managed_full
NE_0004,NE_0005,林子月,身如浮萍,……好。,line,,,,Linupset,,Labo,,,Mischief_Managed_full
NE_0005,NE_0006,,身如浮萍,唐沁还是夺取了我的研究成果，这个我主导实验方向、陪着熬了将近大半年、几乎舍弃所有健康作息来完成的项目，最后竟如喜剧电影一般归属了别人。,narration,,,,,,Labo,,,Mischief_Managed_full
NE_0006,NE_0007,,身如浮萍,而在这其中，我的导师和偷我作品的小偷“鸳鸯戏水”、狼狈为奸，二人你来我往地就决定了我的一切付出。我觉得有些可笑。,narration,,,,,,Labo,,,Mischief_Managed_full
NE_0007,NE_0008,唐某,身如浮萍,你们都是同门，同门之间关系好，我作为老师觉得很高兴啊。希望你们以后毕业了也要互相扶持才好，都好好帮一把。,line,,,,Doctor,,Labo,,,Mischief_Managed_full
NE_0008,NE_0009,唐沁,身如浮萍,那是当然了老师，大家都对我很好，尤其是子月，我最忘不了她呀。手头我发刊一作这个项目，子月也是忙前忙后地给我提供了不小的帮助呢，我自然会好好帮扶她。,line,,,,Tangsmile,,Labo,,,Mischief_Managed_full
NE_0009,NE_0010,林子月,身如浮萍,是，唐老师。我之前年轻不懂事，现在也确实得为自己的未来打算一下了。,line,,,,Linsmile,,Labo,,,Mischief_Managed_full
NE_0010,NE_0011,,身如浮萍,如果能有不妥协的第二个方法，我难道还会这么做吗？不过是身不由己罢了。,narration,,,,,,Labo,,,Mischief_Managed_full
NE_0011,NE_0012,,身如浮萍,不过，有一句话他倒没说错，唐沁确实应当“扶持”我，毕竟这都是你们姓唐的欠我的。,narration,,,,,,Black,,,Mischief_Managed_full
NE_0012,,,身如浮萍,唐沁，你自以为在养狗，可最后怕是要成与虎谋皮了。谁胜谁负，可还未必呢。,narration,,,,,,Black,,,Mischief_Managed_full
