id,next_id,speaker,scene,content,type,choices,target,condition,expression,fx,bg,effect,nameOverride,bgm
TE_0001,TE_0002,狱警,往事随风,"编号7243，有人探监，你有15分钟时间。",line,,,,黑色蒙版,,探监室,,,Music/TE
TE_0002,TE_0003,,往事随风,"监狱的铁门厚重，关门时巨大而震耳的声音在寂静的探监室内十分清晰。狭小的探监室便只剩下了编号7423,，她还有一个名字，叫做唐沁。",narration,,,,,,探监室,,,
TE_0003,TE_0004,,往事随风,"大小姐原本酒红色的长发被剪短，张扬的卷发回归了纯粹的黑直发，面庞更添两分憔悴与刻薄。谁能想到短短几周内，意气风发的唐沁大小姐竟变成了一副骷髅架子的模样，身形瘦削得惊人。",narration,,,,,,探监室,,,
TE_0004,TE_0005,唐沁,往事随风,"林子月，你来做什么，专程看我的笑话吗？",line,,,,生气愤怒,,探监室,,,
TE_0005,TE_0006,林子月,往事随风,"只是看看你现在怎么样。",line,,,,,,探监室,,,
TE_0006,TE_0007,唐沁,往事随风,"这不是拜你所赐？你要是专程来说风凉话的话，就快滚吧。",line,,,,生气愤怒,,探监室,,,
TE_0007,TE_0008,,往事随风,"她话音刚落就起身欲走，椅子在地上发出刺耳的摩擦声，惹得人起一身鸡皮疙瘩。我的声音隔着厚重的玻璃传到了她那边，打断了她的动作。",narration,,,,,,探监室,,,
TE_0008,TE_0009,林子月,往事随风,"唐沁，你后悔吗？如果不动歪心思，或许你还会有精彩的人生，而不是像如今这般被关在监狱里，可能以后都会背着这样一个污点。",line,,,,,,探监室,,,
TE_0009,TE_0010,唐沁,往事随风,"什么是后悔？生下来家庭优渥，自然有本事踩着别人往上爬，被踩的人不过是自己没本事而已。我只后悔一件事，那就是当时就应该早点儿除掉你这个祸害，才不至于沦落到这种境况。",line,,,,生气愤怒,,探监室,,,
TE_0010,TE_0011,林子月,往事随风,"唐沁，我已经成功发表了论文，得到了国重科研院的offer。我会时时记得你，也会记得有一只玉镯子，和我头上踩着我的人一起摔了下去。祝你以后都不好，再见，最好不见。",line,,,,,,探监室,,,
TE_0011,,,往事随风,"普通人的挣扎宛若沧海一粟，使得掌握着财富的人忘记了自己的来路也是普通人。生在罗马的人固然幸运，而普通的人也有广阔的世界可以去追寻——当罗马与世界的边线模糊的那一刻，世间的所有"普通"都变成了华丽的玉，镶嵌在每个"普通"人璀璨的未来里。",narration,,,,,,黑色背景,,,
